pair_id,level_id,competency_id,effective_behaviour,ineffective_behaviour
419,6,7,"Ensure that commercial considerations and risks are fully considered in policy and implementation decision making, formation and delivery ",Show little evidence of commercial understanding when shaping policies with senior stakeholders 
421,5,7,"Identify and implement different ways of working deployed in other sectors e.g. using resources, assets and commercial arrangements ",Overlook opportunities for collaboration with commercial partners to deliver more sustainable outcomes 
423,5,7,"Promote a strong focus on the needs of customers, suppliers and other delivery partners to develop new commercial models for the delivery of policy and business goals ","Define success too narrowly and focus mostly on own concerns, ignoring opportunities to form commercial alliances which could support delivery "
425,5,7,Manage strategic commercial relationships and delivery arrangements actively and effectively to provide ongoing value for money to the tax payer ,Show limited active management of commercial arrangements associated with delivery of policy and business outcomes 
427,5,7,"Develop and apply market and economic understanding and insights, working with commercial experts, to support sound commercial decision-making and recommendations ",Rarely approach or see limited value in working proactively with commercial experts to support commercial activities 
429,5,7,"Take a wide view, successfully achieving common goals with organisations that have different priorities ",Do little to manage the strategic commercial relationship with delivery partners resulting in little or no longer term information sharing or planning 
431,5,7,"Ensure teams appreciate how market demands, investment decisions and other commercial considerations such as funding and pricing models influence suppliers and the delivery of services ",Allow teams to be unaware of important commercial considerations for suppliers and other delivery partners 
433,4,7,Work effectively with different organisations such as private sector and voluntary groups (in tandem with commercial experts) to commission and source solutions to achieve policy and organisational goals ,Take a narrow view on options for delivering policy and business goals 
435,4,7,Understand the commercial drivers that will influence a private or third sector organisation and the levers that can be used in negotiating/influencing contractual arrangements ,Show little or no understanding or appreciation of the economic or commercial drivers that will influence the behaviour of suppliers
439,4,7,"Be able to recognise and understand the commercial tools such as pricing models, open book accounting, supply chain management that commercial experts can deploy to extract value from contracts ",Has little or no knowledge or understanding of the commercial tools used to extract value from contracts 
441,4,7,Interact confidently and effectively as an intelligent and highly credible customer with counterparts from the commercial delivery organisations and commercial experts ,"Demonstrate low levels of knowledge or commercial understanding, and lose respect from suppliers or other commercial counterparts "
443,4,7,Question and challenge the value being delivered through commercial arrangements with delivery partners ,Overlook or ignore the detail or shortcomings in contract delivery 
445,4,7,"Motivate improved performance by suppliers, challenge any gaps between contractual commitments and actual delivery through joint working with commercial /procurement experts ",Take it for granted that suppliers are delivering what is needed 
447,3,7,"Consider, in consultation with commercial experts, alternative ways of working with partners and contractors to identify more efficient outcomes, balancing cost, quality and turn around times ",Overlook opportunities for continuous improvement in service delivery 
449,3,7,Work with commercial experts in engaging effectively and intelligently with delivery partners in order to define and /or improve service delivery ,Lack impact when engaging with commercial experts and delivery partners through misunderstanding commercial issues 
451,3,7,"Gather and use evidence to assess the costs, benefits and risks of a wide range of delivery options when making commercial decisions ","Take a narrow view of options and focus only on cost, rather than long term value and impact "
453,3,7,"Identify and understand relevant legal and commercial terms, concepts, policies and processes (including project approvals and assurance procedures) to deliver agreed outcomes ",Show a lack of understanding about relevant commercial concepts processes and systems 
455,2,7,Be able to identify and access departmental procurement and commercial expertise ,Make poor quality commercial decisions or take actions without having engaged with departmental commercial experts 
457,2,7,Understand and be able to explain departmental approach to assigning contractual and financial delegations ,Enter into commercial arrangements without having the authority to do so 
459,2,7,Recognise when deliverables and/or services derived from a commercial arrangement are not being delivered to the required level of quality or standard and take appropriate action ,Not raise issues when cost or outcomes drift significantly from agreements 
461,2,7,Fully meet commercial confidentiality and data security requirements in contracts ,Put confidentiality and other security requirements at risk 
463,1,7,"Understand the relevant terms and conditions, including deliverables of relevant contracts ","Demonstrate little understanding of what suppliers are obliged to deliver, how or by when "
465,1,7,Be aware of and comply with Departmental procurement processes and know when to access commercial expertise ,Not recognise or understand Departmental procurement procedures 
467,1,7,Check suppliers and partners are providing relevant and timely data to monitor contracts ,Allow inaccurate or late records 
469,1,7,Learn about customers and suppliers needs ,Take no steps to learn who their suppliers and customers are or to understand their interests and concerns 
471,6,8, "Drive and deliver a culture that emphasises continuous improvement, efficiency and value for money" ,Sign off spending with insufficient challenge or scrutiny
475,6,8,"Maintain a clear focus on maximising resource efficiency, continually questioning the value of activities against strategic priorities ",Allow non-core activities to divert funds and make decisions not in the best long-term financial interest of the Department 
477,6,8,Be fluent at interpreting a wide range of financial and performance information and use this to determine policy and strategy delivery ,Develop policy or strategy with insufficient exploration and consideration of financial or management information 
479,6,8,Maintain good financial and budgetary discipline by ensuring accountability for financial controls and systems ,Fail to deliver outcomes or strategy by significantly under or over-spending against agreed plans 
481,6,8,Demonstrate transparency both in terms of decisions made around financial choices and money spent ,Fail to demonstrate a full consideration of the financial aspects of a business decision and ignore the need for transparency and audit 
483,5,8,"Understand the financial position of own area, the organisation and the wider economy and recognise impacts of this when delivering services ",Overlook opportunities to gather and make use of financial information in development of policy and plans 
485,5,8,"Make and encourage strategic choices on spend, challenge high risk costly projects and forgo non-priority expenditure ",Take narrow view that low cost equates to good value 
488,5,8,Promote and visibly demonstrate a culture of value for money in own area/function in order to focus managers on getting a good return for taxpayers‟ money ,"Adopt a short-term, incremental view of resource thus compromising sustainability of resource savings "
490,5,8,Interpret a wide range of financial and management information and use financial data effectively in decisions ,Rarely use financial or management information to support analysis and decision making 
492,5,8,"Develop robust business cases, with fully costed options identifying clear policy advantages and/or returns on investment to assist decision making ",Recommend investment or cost not justified by the likely return 
494,5,8,Understand and manage the risks and cost-drivers for own areas of responsibility in the context of strategic priority ,Take a narrow approach to costs and cost-drivers 
496,4,8,Understand impacts of financial position in own area and that of the organisation and use insight to curtail or support business and investment activities ,Overlook the impact of decisions on the whole organisation and make recommendations without awareness of the wider financial position 
498,4,8,Achieve the best return on investment and deliver more for less on specific budgets by managing resources and maximising the use of assets ,"Deliberately spend money up to the level of the available budget, ignoring the effectiveness of committing the expenditure "
500,4,8,"Balance policy aspiration and delivery, outline risk and benefits of different options to achieve value for money ensuring all submissions contain appropriate financial information ",Be overly focused on minimising expenditure rather than ensuring it is well spent and will provide lasting added value 
502,4,8,Weigh up priority and benefits of different actions and activities to consider how to achieve cost effective outcomes ,Omit financial information from decision making and business planning 
504,4,8,Work with financial processes and tools to evaluate options and ensure financial and management information are accurately reflected in business plans ,Present business plans and cases that are not supported by robust or accurate financial and management information 
506,3,8,Recommend actions to achieve value for money and efficiency ,Ignore financial experts – not ask for advice or seek advice at the right time 
509,3,8,"Cultivate and encourage an awareness of cost, using clear simple examples of benefits and how to measure outcomes ",Reserve resources for own team without considering wider business priorities or the organisation‟s financial environment 
511,3,8,Work confidently with performance management and financial data to prepare forecasts and manage and monitor budget against agreed plans ,Misinterpret or over-estimate performance and financial data used to forecast and monitor budgets and plans 
513,3,8,Follow appropriate financial procedures to monitor contracts to ensure deliverables are achieved ,Ignore the organisation‟s financial procedures or break rules for the sake of expediency 
515,3,8,Monitor the use of resources in line with organisational procedures and plans and hold team to account ,Be unable to justify own and their teams‟ use of resources 
517,2,8,"Manage information and financial data so that it is accurate, easily located and reusable ",Ignore financial management information procedures 
520,2,8,Can account for expenditure and create well supported argument for extra expenditure e.g. overtime ,Misunderstand basic financial concepts 
522,2,8,Take opportunities to challenge misuse of resources in order to achieve value for money and sustainable ways of working ,Favour the easiest method even if it is not the most cost effective – struggle to identify value for money opportunities 
524,2,8,Understand that all actions have a cost and choose the most effective way to do something in a resource efficient way ,Avoid using recommended tools and allow their team to do likewise 
526,2,8,Ensure that recognised control procedures and practices are maintained ,Use control and governance procedures and practices inappropriately or irregularly and allow their teams to do the same 
528,2,8,"Monitor resources against plans and budget, identify and flag up variances ",Not manage resources against plan 
530,1,8,Challenge others appropriately where they see wastage ,Be careless or wasteful with resources or see where resources are being wasted but not raise this with team or manager 
533,1,8,"Be careful with all types of resource (e.g. money, time, materials, fuel, energy) that they use ",Frequently choose convenience over cost effectiveness 
535,1,8,Keep track of spend and make sure work is approved and signed off as necessary ,"Not follow appropriate control or authorisation processes for work, services or resource use "
537,1,8,"Handle numbers confidently, collate information ensuring accuracy of financial and performance data ",Produce inaccurate financial and performance data with errors or omissions 
539,1,8,Maintain recognised financial procedures and practices ,Cut corners and not keep accurate financial records 
541,6,9,Ensure an in-depth and evolving understanding of the broad range of customer requirements is embedded in the Department ,Allow the Department to operate with only superficial understanding of the customer/end user requirements 
543,6,9,Determine and drive customer service outcomes at a broad strategic level and work across Government to deliver best quality service to customers ,Give little attention to defining the customer requirement in setting strategic priorities 
545,6,9,Ensure all parts of the delivery chain fully understand the required outcomes for the customer and articulate the impact of poor service on the Department‟s reputation to all involved ,Give insufficient clarity around customer needs to the delivery partners and lose sight of which partner is responsible for delivery 
547,6,9,"Create a culture of working with and through delivery partners to achieve outcomes, establish and negotiate service levels and deliverables ",Not give sufficient attention to managing customer expectations and outcomes at the highest levels 
549,6,9,"Define and integrate clear structures, systems and resources required across the Department to promote efficient service delivery ","Establish unrealistic or confusing priorities and strategies at the highest level, leading to inefficiencies in service delivery "
551,5,9,Facilitate flexible use of resources across grades through innovative structuring of teams and resources within own area ,Maintain status quo in organisational structures and lack a flexible approach to manage resources and services 
553,5,9,Clarify and articulate the diverse requirements of customers and delivery partners to support effective delivery ,Spend limited time on seeking out and clarifying customer requirements of the Department 
555,5,9,Use customer insight to determine and drive customer service outcomes and quality throughout own area ,Not involve delivery partners sufficiently in delivering quality and customer service outcomes 
557,5,9,Translate complex aims into clear and manageable plans and determine resource requirements to support implementation ,Be unclear about overall service deliverables and resources required for implementation 
559,5,9,Maintain and improve service by managing risks to ensure own area and partners deliver against defined outcomes ,"Establish unrealistic or confusing priorities and plans, leading to inefficiency in service/overlaps between activities "
561,5,9,"Work collaboratively with customers or service delivery partners to manage, monitor and deliver against service level agreements ",Set service level agreements which cannot be delivered and fail to engage effectively or manage expectations with delivery partners 
563,4,9,Exemplify positive customer service behaviours and promote a culture focused on ensuring customer needs are met ,Take little action when customer needs are not being met 
565,4,9,Establish how the business area compares to customer service expectations and industry best practice and identify necessary improvements in plans ,Ignore external trends that impact on the business area 
567,4,9,"Make clear, pragmatic and manageable plans for service delivery using programme and project management disciplines ",Allow programmes or service delivery to lose momentum and focus and have no contingencies in place 
569,4,9,Create regular opportunities for staff and customers to help improve service quality and demonstrate a visible involvement ,Make changes to service delivery with minimal involvement from others 
571,4,9,Ensure the service offer thoroughly considers customers‟ ,Maintain a limited or out-dated view of how to respond to 
573,4,9,"needs and a broad range of available methods to meet this, including new technology where relevant ",customers‟ needs 
575,4,9,Ensure adherence to legal and regulatory requirements in service delivery and build diversity and equality considerations into plans ,"Disregard non–compliance with policies, rules and legal requirements and allow unfair or discriminatory practices "
577,3,9,"Make effective use of project management skills and techniques to deliver outcomes, including identifying risks and mitigating actions ",Has minimal understanding of what could go wrong or needs to be resolved as a priority 
579,3,9,"Develop, implement, maintain and review systems and service standards to provide quality, efficiency and value for money ",Focus on delivering the task to the exclusion of meeting customer/end user requirements and needs 
581,3,9,"Work with team to set priorities, goals, objectives and timescales ",Allocate or delegate work without clarifying deadlines or priorities 
583,3,9,Establish mechanisms to seek out and respond to feedback from customers about service provided ,Be unable to explain common customer problems or needs and how these are evolving 
585,3,9,"Promote a culture that tackles fraud and deception, keeping others informed of outcomes ",Not give sufficient priority and attention to ensuring that fraud and deception is being tackled. 
587,3,9,"Develop proposals to improve the quality of service with involvement from a diverse range of staff, stakeholders or delivery partners ",Generate limited proposals to create service improvements and do so with little involvement of staff 
589,2,9,Explain clearly to customers what can be done ,Give customers and delivery partners an unrealistic picture of what is possible or focus on what cannot be done 
591,2,9,"Work with team to set priorities, create clear plans and manage all work to meet the needs of the customer and the business ",Always rely on others to focus and plan their work 
593,2,9,Ensure that levels of service are maintained – flag up risks or concerns in order to meet customer requirements ,Focus on immediate service delivery problems and neglect overall quality or customer /end user needs 
595,2,9,"Keep internal teams, customers and delivery partners fully informed of plans and possibilities ","Provide infrequent, unclear, insufficient updates to others in need of the information "
597,2,9,"Promote adherence to relevant policies, procedures, regulations and legislation, including equality and diversity and health and safety ",Pay little attention to highlighting and explaining the reasons for compliance 
599,2,9,Identify common problems or weaknesses in policy or procedures that affect service and escalate these ,Show a lack of desire to improve the quality of service 
601,1,9,Communicate in a way that meets and anticipates the customer‟s requirements and gives a favourable impression of the Civil Service ,Communicate with customers in a negative or unprepared way 
603,1,9,Actively seek information from customers to understand their needs and expectations ,Act without thinking through the necessary steps and disregard the customer‟s circumstances 
605,1,9,"Act to prevent problems, reporting issues where necessary ",Allow service levels to drop or problems to occur before reporting 
607,1,9,"Gain the knowledge needed to follow the relevant legislation, policies, procedures and rules that apply to the job ",Miss opportunities to learn or find out about relevant guidance and rules 
609,1,9,Encourage customers to access relevant information or support that will help them understand and use services more effectively ,Keep customers in the dark about relevant and useful information or partners 
611,1,9,"Take ownership of issues, focus on providing the right solution and keep customers and delivery partners up to date with progress ",Treat people unfairly or make unrealistic commitments 
613,6,10,"Set, maintain and ensure a clear direction for the Department, with highly focused priorities and project outcomes ",Display imprecision and lack of purpose about direction and focus of the Department 
615,6,10,Retain accountability for achieving strategic priorities and outcomes ,Allow the Department‟s focus to drift away from critical priorities and do not measure performance against them 
617,6,10,Swiftly re-focus the Department on new priorities as changing situations dictate ,Stick to strategy even when it is superseded by events which necessitate a change 
619,6,10,"Drive a performance culture across the Department and achieve results through others, resolutely holding them accountable for outcomes ",Allow the Department to get away with poor results and inaction 
621,6,10,"Encourage, support and coach individuals and teams across the Department to energise delivery ",Expect people to perform with enthusiasm without giving support and encouragement 
623,6,10,Enable the organisation to remain focussed on core priorities irrespective of external challenges ,Readily allow problems or external challenges to distract the Department from its core priorities 
625,5,10,Translate strategic priorities into clear outcome-focused objectives for managers and provide the energy and drive in achievement of these objectives ,"Set unrealistic, vague or uninspiring goals and lack clarity around expected outcomes "
627,5,10,Take ownership of delivery against outcomes and give credit for others‟ delivery ,Present delivery as someone else‟s issue 
629,5,10,"Maintain a strong focus on priorities, holding others to account for priorities and swiftly respond to changing requirements ",Constantly revisit and revise priorities 
631,5,10,Drive a performance culture within own area and support and encourage a focus on performance and priorities ,Give limited personal support for delivery and allow the focus to drift away from critical priorities 
633,5,10,Act as a role model for delivery by injecting enthusiasm and energy to achieve results ,Put an overly strong focus on achieving tasks without efforts to motivate and energise people to perform 
635,5,10,"Promote resilience and responsiveness in the organisation by being open and honest about challenges, and the actions required to address unexpected developments ",Overlook the impact of challenges and the impact on team and organisational resilience 
637,4,10,"Get the best out of people by giving enthusiastic and encouraging messages about priorities, objectives and expectations ","Lose focus, giving a confusing sense of what is important "
639,4,10,"Clarify business priorities, roles and responsibilities and secure individual and team ownership ",Take the credit for delivery of outcomes without acknowledging the contribution of their teams 
641,4,10,Adopt clear processes and standards for managing performance at all levels ,Fail to set standards for timeliness and quality of monitoring in their own area of responsibility 
643,4,10,Act as a role model in supporting and energising teams to build confidence in their ability to deliver outcomes ,Overly focus on task delivery at expense of motivating and building capability to perform 
645,4,10,"Maintain effective performance in difficult and challenging circumstances, encouraging others to do the same ","Fail to take a constructive approach to adversity, resorting quickly to blaming others for shortcomings "
647,4,10,"Review, challenge and adjust performance levels to ensure quality outcomes are delivered on time, rewarding success ",Allow performance to drop without challenging quickly and responsively - continually focus on the negatives 
652,3,10,"Successfully manage, support and stretch self and team to deliver agreed goals and objectives ",Give people work to do without supporting them to develop the skills and knowledge they need for the job 
654,3,10,Show a positive approach in keeping their own and the team‟s efforts focused on the goals that really matter ,Allow work flow to lose momentum or drift away from priorities 
656,3,10,"Take responsibility for delivering expected outcomes on time and to standard, giving credit to teams and individuals as appropriate ","Give little or no support to others in managing poor performance, allow others‟ problems and obstacles to hamper progress "
658,3,10,Plan ahead but reassess workloads and priorities if situations change or people are facing conflicting demands ,Show no consideration for diversity-related needs of the team when organising the workload 
660,3,10,Regularly monitor own and team‟s work against milestones or targets and act promptly to keep work on track and maintain performance ,"Allow poor performance to go unchallenged, causing workload issues for other team members "
662,3,10,Coach and support others to set and achieve challenging goals for themselves ,"Allow organisational and other obstacles, including a lack of support, to stand in the way of own and others‟ aspirations "
664,2,10,Create regular reviews of what and who is required to make a project/activity successful and make ongoing improvements ,Fail to maintain pace and progress 
666,2,10,Be interested and positive about what they and the team are trying to achieve ,Display limited interest or positivity for their role or purpose 
668,2,10,Take ownership of problems in their own area of responsibility ,Avoid responsibility for dealing with problems 
670,2,10,Remain positive and focused on achieving outcomes despite setbacks ,Fail to adjust or react negatively when things change or go wrong 
672,2,10,"Check own and team performance against outcomes, make improvement suggestions or take corrective action when problems are identified ",Neglect performance reviews and so be unable to give timely and constructive feedback 
674,2,10,Set and achieve challenging goals and monitor quality ,Blame others for poor quality work 
676,1,10,Work in an organised manner using own knowledge and expertise to deliver on time and to standard ,Show little interest in own work or in getting the job done properly 
678,1,10,Work with energy and pace to get the job done ,Wait to be told what to do and rely on others to sort out problems 
680,1,10,Take responsibility for the quality of own work and keep manager informed of how the work is progressing ,Ignore own part in ensuring their team can deliver and avoid supporting colleagues to get the job done even when the need is clear 
682,1,10,Remain focused on delivery ,Be easily discouraged or distracted 
684,1,10,Maintain consistent performance ,Give up quickly when things do not go smoothly 
686,1,10,Participate in quality assurance of products or services ,Miss the opportunity to suggest improvements through quality assurance 
